,2015,2016,2017,2018,2019,2020
BE,15.0,15.0,15.0,14.0,14.0,14.0
BG,27.0,27.0,27.0,27.0,27.0,27.0
CZ,18.0,18.0,19.0,21.0,18.0,18.0
DK,5.0,5.0,5.0,5.0,5.0,5.0
DE,16.0,16.0,16.0,16.0,15.0,15.0
EE,3.0,3.0,3.0,3.0,3.0,3.0
IE,4.0,4.0,4.0,4.0,4.0,4.0
EL,20.0,22.0,26.0,19.0,20.0,20.0
ES,13.0,13.0,14.0,12.0,13.0,13.0
FR,8.0,8.0,8.0,7.0,8.0,8.0
HR,22.0,24.0,22.0,23.0,23.0,22.0
IT,21.0,20.0,20.0,18.0,21.0,21.0
CY,7.0,6.0,7.0,6.0,7.0,7.0
LV,6.0,7.0,6.0,10.0,6.0,6.0
LT,9.0,11.0,9.0,13.0,12.0,12.0
LU,11.0,12.0,10.0,8.0,9.0,9.0
HU,24.0,23.0,23.0,24.0,22.0,23.0
MT,19.0,19.0,18.0,20.0,24.0,24.0
NL,14.0,14.0,13.0,15.0,16.0,16.0
AT,10.0,9.0,11.0,11.0,10.0,10.0
PL,25.0,25.0,24.0,25.0,25.0,25.0
PT,12.0,10.0,12.0,9.0,11.0,11.0
RO,26.0,26.0,25.0,26.0,26.0,26.0
SI,17.0,17.0,17.0,17.0,17.0,17.0
SK,23.0,21.0,21.0,22.0,19.0,19.0
FI,1.0,1.0,1.0,1.0,1.0,1.0
SE,2.0,2.0,2.0,2.0,2.0,2.0
